Year,Week,Team name,Opponent name,1st Downs,Passing 1st downs,Rushing 1st downs,1st downs from penalties,Total Plays,Total Yards,Total Drives,Yards per Play,Passing,Yards per pass,Interceptions thrown,Rushing,Rushing Attempts,Yards per rush,Turnovers,Fumbles lost,Interceptions thrown.1,Defensive / Special Teams TDs,Points scored,Points allowed,3rd down conv,3rd down att,4th down conv,4th down att,Pass comp,Pass att,Opponent sacks,Yds lost on sacks,Redzn Conv,Redzn Att,Tot penalties,Penalty Yds,TOP(sec),Win(1) / Loss(0)
2023,1,Lions,Chiefs,19,11,8,0,70,368,11,5.3,250,6.9,0,118,34,3.5,1,1,0,1,21,20,5,15,1,3,22,35,1,3,2,3,4,63,1958,1
2023,1,Chiefs,Lions,17,10,6,1,62,316,11,5.1,226,5.8,1,90,23,3.9,1,0,1,0,20,21,5,14,0,1,21,39,0,0,2,3,3,25,1642,0
2023,1,Panthers,Falcons,20,9,9,2,72,281,12,3.9,127,3.2,2,154,32,4.8,3,1,2,0,10,24,5,14,0,2,20,38,2,19,1,2,9,66,2081,0
2023,1,Falcons,Panthers,13,6,7,0,48,221,13,4.6,91,4.1,0,130,26,5.0,0,0,0,0,24,10,2,10,0,0,15,18,4,24,3,3,6,43,1519,1
2023,1,Bengals,Browns,6,3,2,1,54,142,15,2.6,67,2.0,0,75,20,3.8,0,0,0,0,3,24,2,15,0,1,14,32,2,15,0,0,4,20,1450,0
2023,1,Browns,Bengals,21,9,12,0,72,350,14,4.9,144,4.5,1,206,40,5.2,2,1,1,0,24,3,4,14,0,0,16,29,3,10,2,3,5,43,2150,1
2023,1,Jaguars,Colts,20,10,9,1,69,342,15,5.0,237,7.0,1,105,35,3.0,2,1,1,0,31,21,3,12,1,3,24,32,2,4,3,3,4,45,2017,1
2023,1,Colts,Jaguars,18,12,4,2,69,280,14,4.1,215,5.0,1,65,26,2.5,3,2,1,1,21,31,2,12,1,5,24,39,4,8,1,3,4,35,1583,0
2023,1,Buccaneers,Vikings,16,9,5,2,68,242,12,3.6,169,4.8,0,73,33,2.2,0,0,0,0,20,17,6,17,1,1,21,34,1,4,1,2,3,19,1839,1
2023,1,Vikings,Buccaneers,18,15,2,1,63,369,11,5.9,328,7.1,1,41,17,2.4,3,2,1,0,17,20,6,14,0,0,33,44,2,16,1,3,6,45,1761,0
